matcode,title,ref,au,safstk,reorder,ar,desk,ordcst,eoq,lt,safty,auamt,spare,gr,nm,pstock,ind,nsaftystk,specno,matgroup,section,group_b,group_c,group_a,abc,reordqty,unitrate,dwgno
521158,COPPER STAMPINGS                             ,A4500-5-05                          ,NO,1.333,3.333,8,T    ,1500,0,3,2,0,0,521 ,S,0,0,0,S21151 R0 ,Production          ,NULL,Laminations                   ,Copper Stampings              ,Copper                        ,A ,0,NULL,NULL
521160,COPPER STAMPINGS                             ,LAM-200-2                           ,NO,0,0,0,T    ,1500,0,3,1,0,0,521 ,N,0,0,0,S21151 R0 ,Production          ,NULL,Laminations                   ,Copper Stampings              ,Copper                        ,X ,0,NULL,NULL
521161,COPPER STAMPINGS                             ,LA-28-2-200                         ,NO,1.75,7,21,T    ,1500,0,3,1,0,0,NULL,NULL,0,0,0,S21151 R0 ,Production          ,NULL,Laminations                   ,Copper Stampings              ,Copper                        ,X ,0,NULL,NULL
521162,COPPER STAMPINGS                             ,AX-22-2-202                         ,NO,4.125,28.875,99,T    ,1500,80,3,0.5,0,0,521 ,NULL,0,0,0,S21151 R0 ,Production          ,NULL,Laminations                   ,Copper Stampings              ,Copper                        ,B ,40,NULL,NULL
521163,COPPER STAMPINGS                             ,AX-35-2-205                         ,NO,0,0,0,T    ,1500,0,3,1,0,0,521 ,NULL,0,0,0,S21151 R0 ,Production          ,NULL,Laminations                   ,Copper Stampings              ,Copper                        ,X ,0,NULL,NULL
521164,COPPER STAMPINGS                             ,HA-22-2-200                         ,NO,4.917,19.667,59,T    ,1500,0,3,1,0,0,NULL,NULL,0,0,0,S21151 R0 ,Production          ,NULL,Laminations                   ,Copper Stampings              ,Copper                        ,X ,0,NULL,NULL
521201,EXCITER FIELD STAMPINGS                      ,A1610-5-203                         ,KG,38.333,153.333,460,T    ,1500,155,3,1,0,0,521 ,NULL,0,0,0,S21201 R0 ,Production          ,NULL,Laminations                   ,Ex Field Stampings            ,Steel                         ,B ,200,NULL,NULL
521202,EX.FIELD STAMPINGS                           ,A2010-5-403                         ,KG,35.833,250.833,860,T    ,0,159,3,0.5,0,0,521 ,NULL,0,0,0,S21201 R0 ,Production          ,NULL,Laminations                   ,Ex Field Stampings            ,Steel                         ,B ,200,0,NULL
522256,COLD FORGED COPPER - TINNED                  ,40 X 10 MM                          ,KG,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,S22251 R0 ,Production          ,NULL,NULL,NULL,NULL,X ,NULL,600,NULL
521203,EXCITER FIELD STAMPINGS                      ,A2810-5-03                          ,KG,57.5,230,690,T    ,1500,225,3,1,0,0,521 ,NULL,0,0,0,S21201 R0 ,Production          ,NULL,Laminations                   ,Ex Field Stampings            ,Steel                         ,B ,300,NULL,NULL
521204,EXCITER FIELD STAMPINGS                      ,A5600-5-08                          ,KG,30,60,120,T    ,1500,0,3,3,0,0,521 ,S,0,0,0,S21201 R0 ,Production          ,NULL,Laminations                   ,Ex Field Stampings            ,Steel                         ,A ,0,NULL,NULL
521205,EXCITER FIELD STAMPINGS                      ,AA-35-02-404                        ,KG,5.583,22.333,67,T    ,1500,0,3,1,0,0,NULL,NULL,0,0,0,S21201 R0 ,Production          ,NULL,Laminations                   ,Ex Field Stampings            ,Steel                         ,A ,0,NULL,NULL
521301,EXCITER ARMATURE STAMPINGS                   ,A1610-5-202                         ,KG,17.5,70,210,T    ,1500,115,3,1,0,0,521 ,NULL,0,0,0,S21001 R1 ,Production          ,NULL,Laminations                   ,Ex Arm Stampings              ,Steel                         ,B ,200,NULL,NULL
521302,EXCITER ARMATURE STAMPINGS                   ,A2010-5-404                         ,KG,27.083,189.583,650,T    ,1500,72,3,0.5,0,0,521 ,NULL,0,0,0,S21001 R1 ,Production          ,NULL,Laminations                   ,Ex Arm Stampings              ,Steel                         ,B ,200,NULL,NULL
521303,EXCITER ARMATURE STAMPINGS                   ,A2510-5-07                          ,KG,37.083,259.583,890,T    ,1500,276,3,0.5,0,0,521 ,NULL,0,0,0,S21001 R1 ,Production          ,NULL,Laminations                   ,Ex Arm Stampings              ,Steel                         ,B ,300,NULL,NULL
521304,EXCITER ARMATURE STAMPINGS                   ,A3160-5-04                          ,KG,162.5,487.5,1300,T    ,1500,293,3,1.5,0,0,521 ,NULL,0,0,0,S21001 R1 ,Production          ,NULL,Laminations                   ,Ex Arm Stampings              ,Steel                         ,B ,300,NULL,NULL
521305,EXCITER ARMATURE STAMPINGS                   ,A4010-5-04                          ,KG,9.167,36.667,110,T    ,1500,143,3,1,0,0,521 ,NULL,0,0,0,S21001 R1 ,Production          ,NULL,Laminations                   ,Ex Arm Stampings              ,Steel                         ,A ,0,NULL,NULL
521306,EXCITER ARMATURE STAMPINGS                   ,A5600-5-05                          ,KG,0,0,0,T    ,1500,0,3,1,0,0,521 ,S,0,0,0,S21001 R1 ,Production          ,NULL,Laminations                   ,Ex Arm Stampings              ,Steel                         ,A ,0,NULL,NULL
521401,COMPOUNDING T/F STAMPING - E                 ,A1-024-021                          ,KG,14.167,42.5,170,T    ,1500,48,2,1,0,0,521 ,NULL,0,0,0,S21503 R0 ,Production          ,NULL,Laminations                   ,T/F Stampings                 ,Steel                         ,B ,200,NULL,NULL
521402,COMPOUNDING T/F STAMPING - E                 ,ARES 147                            ,KG,14.167,42.5,170,T    ,1500,68,2,1,0,0,521 ,NULL,0,0,0,S21503 R0 ,Production          ,NULL,Laminations                   ,T/F Stampings                 ,Steel                         ,B ,200,NULL,NULL
521403,COMPOUNDING T/F STAMPING - E                 ,ARES 384                            ,KG,37.5,112.5,450,T    ,1500,50,2,1,0,0,521 ,NULL,0,0,0,S21503 R0 ,Production          ,NULL,Laminations                   ,T/F Stampings                 ,Steel                         ,B ,200,NULL,NULL
521501,COMPOUNDING T/F STAMPING - I                 ,A1-024-021                          ,KG,7.25,21.75,87,T    ,1500,58,2,1,0,0,521 ,NULL,0,0,0,S21503 R0 ,Production          ,NULL,Laminations                   ,T/F Stampings                 ,Steel                         ,B ,100,NULL,NULL
521502,COMPOUNDING T/F STAMPING - I                 ,ARES 147                            ,KG,5.583,16.75,67,T    ,1500,50,2,1,0,0,521 ,NULL,0,0,0,S21503 R0 ,Production          ,NULL,Laminations                   ,T/F Stampings                 ,Steel                         ,B ,100,NULL,NULL
521503,COMPOUNDING T/F STAMPING - I                 ,ARES 385                            ,KG,25,75,300,T    ,1500,37,2,1,0,0,521 ,NULL,0,0,0,S21503 R0 ,Production          ,NULL,Laminations                   ,T/F Stampings                 ,Steel                         ,B ,100,NULL,NULL
521601,STATOR LAMINATION (DEEP SLOT)                ,AD-11-2-151                         ,KG,2.417,16.917,58,T    ,0,NULL,3,0.5,NULL,0,NULL,NULL,NULL,0,NULL,S21602 R0 ,Production          ,NULL,NULL,NULL,NULL,A ,0,NULL,NULL
903668,"PVC SHOWER 1/2""                              ",NULL,NO,NULL,NULL,NULL,A    ,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,Production          ,NULL,NULL,NULL,NULL,A ,NULL,NULL,NULL
521603,STATOR LAMINATION GRADE M-47 C3/C56          ,03-10176-101B                       ,KG,0,0,0,T    ,1500,0,3,0.5,0,0,NULL,NULL,0,0,0,S21602 R0 ,Production          ,NULL,NULL,NULL,NULL,X ,0,NULL,NULL
521605,STATOR LAMINATION FOR 100KW                  ,LA-28-2-100                         ,KG,37.083,259.583,890,T    ,1500,0,3,0.5,0,0,NULL,NULL,0,0,0,S21602 R0 ,Production          ,NULL,NULL,NULL,NULL,A ,0,NULL,NULL
521612,ROTOR LAMINATION                             ,AD-11-2-202                         ,KG,1500,10500,36000,T    ,1500,1846,3,0.5,0,0,521 ,NULL,0,0,0,S21602 R0 ,Production          ,NULL,NULL,NULL,NULL,B ,5000,NULL,NULL
521613,ROTOR LAMINATION M47C3 GRADE                 ,03-10176-404                        ,KG,0,0,0,T    ,1500,0,3,0.5,0,0,NULL,NULL,0,0,0,S21602 R0 ,Production          ,NULL,NULL,NULL,NULL,X ,0,NULL,NULL
