matcode,title,ref,au,safstk,reorder,ar,desk,ordcst,eoq,lt,safty,auamt,spare,gr,nm,pstock,ind,nsaftystk,specno,matgroup,section,group_b,group_c,group_a,abc,reordqty,unitrate,dwgno
463206,WOUND EX ARMATURE                            ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
463207,MACHINED FAN                                 ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Machine Shop             ,,,,,,,
463208,BALANCING DISC                               ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Machine Shop             ,,,,,,,
463209,DSD RIVETTING                                ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
463210,DSD ASSEMBLY KIT                             ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
463211,MACHINED SHAFT                               ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Machine Shop             ,,,,,,,
463212,ROTOR STACK                                  ,SL225 -63kva                        ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
463213,ROTOR WINDING                                ,SL225 -63kva                        ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
463214,END CONNECTION KIT                           ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
463215,EA STACK                                     ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
463216,EA WINDING                                   ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
463217,EA END CONNECTION                            ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
463218,EA IMPREGNATION KIT                          ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
463219,EA PAPER CUTTING                             ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
463220,COIL FORMING KIT                             ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Winding                  ,,,,,,,
463301,CP ASSEMBLY                                  ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
463302,E STACK                                      ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
463303,I STACK                                      ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Fabrication              ,,,,,,,
463304,COMPOUNDING SECONDARY                        ,SL 225                              ,No,,,,,,,,,,,,,,,,,Sub Assembly        ,Comp.Plate               ,,,,,,,
